citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
1580,517,Verified email at decsai.ugr.es,16,12,26,13,2019,1994,Raul Perez,"Professor of Cumputer Science and Artificial Intelligence,  Universidad de Granada None","Artificial Intelligence,Fuzzy Logic,Genetic Algorithms,Machine Learning",75
1260,631,Verified email at uwe.ac.uk - ,17,12,27,14,2020,1990,Jun Hong,"Professor in Artificial Intelligence,  University of the West of England, Bristol , UK","Artificial Intelligence,Data Science,Autonomous Systems,Social Network Analysis",105
986,863,Verified email at aetna.com - ,18,16,24,23,2020,2003,Sadid A. Hasan,Senior Director of Artificial Intelligence at CVS Health Homepage None,"Computational Linguistics,Natural Language Processing,Artificial Intelligence,Machine Learning,Clinical Informatics",98
856,351,Verified email at cs.uni-bremen.de - ,14,10,18,11,2020,2006,Alexis Maldonado,"Researcher, Artificial Intelligence -  Universitaet Bremen None","Robotics,robot grasping,artificial intelligence",28
719,651,Verified email at caltech.edu,10,10,11,10,2019,2012,Kishore Jaganathan,Illumina Artificial Intelligence Laboratory Genomics None,"Genomics,Deep learning,Signal processing",19
600,254,Verified email at dia.uned.es - ,12,7,12,6,2019,2000,Félix Hernández del Olmo,Artificial Intelligence Departament.  UNED None,"Artificial Intelligence,Machine Learning,Reinforcement Learning,Adaptive Systems,Intelligent Control",45
509,233,Verified email at exchange.shu.ac.uk - ,13,8,18,6,2020,2004,Márjory Da Costa-Abreu,Senior Lecturer in Artificial Intelligence at  Sheffield Hallam University  (UK),"Machine learning,Datamining,Privacy/GDPR/Data Protection,Forensics and Surveillance,Biometrics and Identity Management",83
423,321,Verified email at fci.helwan.edu.eg - ,11,10,12,10,2020,2005,Mona Nasr,"Head of Information Systems Dept., Faculty of Computers & Artificial Intelligence,  Helwan University None","e-Learning,Big Data,Data Science,Cloud Computing,Knowledge Discovery",87
346,344,Verified email at dfki.de,9,9,9,9,2020,2015,Benjamin Bischke,"PhD Candidate & NVIDIA AI Lab Scholar,  German Research Center for Artificial Intelligence None","Deep Learning,Artificial Intelligence,Remote-Sensing,Satellite Imagery,Social Multimedia",26
289,273,Verified email at de.bosch.com - ,9,9,9,9,2019,2011,Annemarie Friedrich,Bosch Center for Artificial Intelligence Homepage None,"Computational Linguistics,Natural Language Processing",23
236,169,Verified email at siswa.um.edu.my,8,7,7,5,2019,2009,"Mahmoud Reza Saybani, PhD in Artificial Intelligence, M.Eng. in Technical Mathematics","Computer Science and Information Technology,  University of Malaya None","Artificial Intelligence,Machine Learning,Deep Learning,Internet of things,Cloud Computing",29
212,128,Verified email at racai.ro,7,6,3,2,2020,2010,Stefan Daniel Dumitrescu,Research Institute for Artificial Intelligence Deep Learning None,"Deep Learning,ML,Natural Language Processing,Information Extraction",56
212,109,Verified email at sbs.ox.ac.uk - ,6,5,5,2,2017,2003,Francesco Carbone,"MBA -  University of Oxford , PhD in Artificial Intelligence - Universidad Politécnica de",Artificial Intelligence,22
213,162,Verified email at baidu.com,9,9,9,8,2019,2011,Kexin Zhao,Baidu Silicon Valley Artificial Intelligence Lab Machine Learning None,"Machine Learning,Speech,Natural Language Processing,Signal Processing",25
213,201,Verified email at csail.mit.edu - ,7,7,6,6,2016,2011,Afian Anwar,"Visiting Scholar, MIT Computer Science and Artificial Intelligence Laboratory Homepage None","Transportation,Robotics,Artificial Intelligence,Optimization,Queueing Theory",15
216,196,Verified email at agents.fel.cvut.cz - ,10,9,10,9,2019,2007,Michal Certicky,"Senior Researcher, Artificial Intelligence Center,  Czech Technical University in Prague None","Artificial Intelligence,Machine Learning,Modelling,Game AI,Multi-Agent Systems",47
217,138,No verified email,7,6,5,4,2020,1997,saied eftekhari,"Nabi Akram University,student of Artificial intelligence Artificial intelligence None",Artificial intelligence,64
218,217,Verified email at cshs.org,9,9,8,8,2020,2011,Martin Lyngby Lassen,"Postdoctoral Researcher, Artificial Intelligence in Medicine program,  Cedars-Sinai Medical Center None","Positron Emission Tomography,data-driven motion detection and compensation,cardiac PET imaging",70
218,198,Verified email at microsoft.com,8,7,8,7,2019,2011,Samyam Rajbhandari,"Microsoft Artificial Intelligence and Research, Ohio State University Deep Learning None","Deep Learning,High Performance Computing,Systems",20
